customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00070,Female,1,No,No,65,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,54.03,3530.81,Yes
CUST_00071,Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,26.75,96.27,No
CUST_00072,Female,1,Yes,Yes,67,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,77.39,5224.34,No
CUST_00073,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.11,2524.19,Yes
CUST_00074,Female,0,No,Yes,14,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,77.29,1097.13,No
CUST_00075,Male,0,No,Yes,52,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,46.92,2462.43,No
CUST_00076,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,44.76,1372.78,No
CUST_00077,Female,1,No,No,58,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,34.27,1995.33,Yes
CUST_00078,Female,0,Yes,Yes,54,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),22.79,1252.47,No
CUST_00079,Male,0,Yes,No,69,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),61.54,4274.68,Yes
CUST_00080,Female,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),34.37,541.11,No
CUST_00081,Male,0,Yes,Yes,38,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),88.46,3390.26,No
CUST_00082,Female,1,Yes,Yes,14,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),116.1,1658.47,No
CUST_00083,Male,0,No,No,57,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),25.5,1472.19,Yes
CUST_00084,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,109.08,6438.99,No
CUST_00085,Male,0,No,Yes,8,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Mailed check,85.09,683.47,No
CUST_00086,Male,0,No,No,72,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,105.75,7656.82,No
CUST_00087,Female,0,No,No,19,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.81,676.18,No
CUST_00088,Male,0,Yes,Yes,32,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,110.46,3572.97,Yes
CUST_00089,Female,0,No,No,29,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),115.7,3401.83,Yes
CUST_00090,Female,0,Yes,Yes,41,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),110.48,4567.41,No
CUST_00091,Female,0,No,Yes,45,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,98.12,4450.06,No
CUST_00092,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),27.21,386.53,No
CUST_00093,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),40.51,1106.82,Yes
CUST_00094,Female,0,Yes,Yes,19,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,111.14,2159.52,No
CUST_00095,Female,0,No,Yes,26,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),41.4,1103.54,No
CUST_00096,Female,0,No,Yes,53,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,53.47,2844.85,No
CUST_00097,Female,0,No,No,51,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),23.15,1191.07,No
CUST_00098,Female,0,No,Yes,37,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),82.07,3077.19,No
CUST_00099,Female,0,Yes,No,9,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),75.46,691.62,No
CUST_00100,Male,0,Yes,Yes,52,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,116.1,6039.31,No
CUST_00101,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),109.02,5908.45,Yes
CUST_00102,Female,0,No,Yes,3,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,69.61,249.69,No
CUST_00103,Female,0,No,No,69,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),80.15,5551.24,No
CUST_00104,Female,0,No,Yes,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,60.15,521.35,Yes
CUST_00105,Female,0,No,Yes,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,31.51,482.51,No
CUST_00106,Female,0,No,Yes,3,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,106.51,362.43,Yes
CUST_00107,Female,0,No,Yes,24,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Electronic check,74.05,1806.72,No
CUST_00108,Female,0,Yes,No,13,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,61.39,833.04,No
CUST_00109,Female,0,Yes,No,43,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,24.98,1087.38,No
CUST_00110,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,85.87,2495.19,Yes
CUST_00111,Female,0,Yes,No,72,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,58.77,4257.78,No
CUST_00112,Male,0,Yes,No,51,Yes,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,43.88,2238.25,No
CUST_00113,Female,0,Yes,Yes,42,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),107.43,4535.3,Yes
CUST_00114,Female,0,Yes,No,31,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,36.73,1143.75,No
CUST_00115,Male,0,Yes,No,63,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),70.53,4448.94,No
CUST_00116,Female,0,No,No,26,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,99.17,2621.88,Yes
CUST_00117,Male,0,No,No,18,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,104.61,1914.93,Yes
CUST_00118,Female,0,No,Yes,57,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,101.51,5818.21,No
CUST_00119,Female,0,No,Yes,7,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),109.46,786.42,Yes
CUST_00120,Male,0,No,Yes,48,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,32.52,1581.64,No
CUST_00121,Female,0,No,Yes,60,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,113.93,6850.76,No
CUST_00122,Male,1,No,No,33,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),19.1,652.08,No
CUST_00123,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,44.1,161.66,No
CUST_00124,Male,1,Yes,Yes,4,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.57,115.62,No
CUST_00125,Male,0,No,Yes,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),114.44,470.86,Yes
CUST_00126,Female,1,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),61.24,2596.88,No
CUST_00127,Female,0,Yes,No,9,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),50.16,470.66,No
CUST_00128,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,35.04,1828.16,No
CUST_00129,Female,0,Yes,Yes,17,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,33.89,617.27,No
CUST_00130,Female,0,Yes,Yes,17,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,80.62,1387.36,Yes
CUST_00131,Female,0,No,Yes,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),22.8,478.59,Yes
CUST_00132,Male,0,Yes,No,14,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,78.62,1149.53,No
CUST_00133,Male,0,No,No,22,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),97.01,2175.69,No
CUST_00134,Male,0,No,No,52,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,79.3,4134.57,No
CUST_00135,Male,0,No,Yes,27,Yes,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,102.31,2776.41,No
CUST_00136,Male,0,Yes,No,43,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),45.06,1941.6,Yes
CUST_00137,Male,1,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,25.87,111.51,No
CUST_00138,Male,0,No,Yes,8,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,91.54,748.17,Yes
CUST_00139,Male,1,No,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),102.47,1051.52,Yes
CUST_00140,Male,0,No,Yes,29,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),69.17,2044.37,No
CUST_00141,Female,0,Yes,Yes,40,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),101.7,4109.92,Yes
CUST_00142,Male,0,No,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,64.71,4222.27,No
CUST_00143,Female,0,No,Yes,21,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),38.25,815.11,Yes
CUST_00144,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,66.39,1635.74,No
CUST_00145,Female,0,No,No,60,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,40.03,2420.68,No
CUST_00146,Male,0,Yes,No,26,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,66.15,1760.93,No
CUST_00147,Male,1,No,No,9,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),33.05,304.94,Yes
CUST_00148,Male,0,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),36.93,784.14,No
CUST_00149,Male,0,No,No,56,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,108.06,6075.35,No
CUST_00150,Female,0,No,Yes,36,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,29.82,1081.94,No
CUST_00151,Male,0,No,Yes,36,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),40.88,1498.29,No
CUST_00152,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,119.54,2673.45,No
CUST_00153,Male,0,Yes,No,1,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,76.75,96.22,Yes
CUST_00154,Male,0,No,No,69,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,77.75,5373.9,No
CUST_00155,Male,0,Yes,Yes,37,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),104.19,3883.75,No
CUST_00156,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,71.48,5188.33,No
CUST_00157,Male,0,No,Yes,13,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,40.62,534.15,No
CUST_00158,Female,1,Yes,Yes,43,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),61.09,2629.01,No
CUST_00159,Male,0,No,Yes,37,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,95.01,3518.19,No
CUST_00160,Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),106.99,2686.27,Yes
CUST_00161,Male,0,No,No,21,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),45.87,963.57,No
CUST_00162,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),44.72,1855.01,No
CUST_00163,Female,0,Yes,Yes,42,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,51.42,2194.36,No
CUST_00164,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,78.81,3345.69,Yes
CUST_00165,Female,0,Yes,Yes,2,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),46.41,124.65,Yes
CUST_00166,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),109.1,7433.61,Yes
CUST_00167,Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),117.76,978.85,No
CUST_00168,Male,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),87.27,5352.31,No
CUST_00169,Male,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,116.97,1680.65,No
CUST_00170,Female,0,No,No,21,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,47.36,1018.48,No
CUST_00171,Female,0,Yes,No,24,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),101.15,2436.54,Yes
